"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26035","Clare, MI",611781,634205,645354,662100,666623,681132,674433,657258,647208,677199,733794,776537,750815,766420,740488,789999,824359,868897
"26037","Clinton, MI",1334641,1404821,1478566,1592879,1637513,1662601,1696102,1642741,1479354,1633180,1637226,1647561,1662517,1769191,1660168,1705952,1763539,1773185
"26039","Crawford, MI",367069,372822,374514,375730,372384,381031,381332,357035,355171,366875,371892,363016,353221,359451,364684,374857,419383,441864
"26041","Delta, MI",1186218,1220867,1262310,1288010,1267579,1269257,1227859,1188216,1156882,1184783,1166540,1163686,1161910,1147120,1139487,1147124,1140664,1174550
"26043","Dickinson, MI",1076637,1112038,1101651,1100770,1116477,1136614,1128435,1089794,1073817,1121870,1147805,1198049,1203734,1203327,1161275,1202929,1230728,1268113
"26045","Eaton, MI",3028878,3312786,3404090,3466310,3795638,4059204,4183809,3679557,3482482,3801308,3745180,3713041,3832108,3950221,4178968,4309150,4213443,4296062
"26047","Emmet, MI",1328135,1393327,1426238,1457648,1472434,1488883,1492535,1426826,1355804,1375254,1372336,1406964,1414123,1422574,1455912,1479016,1527464,1562456
"26049","Genesee, MI",13927608,14660373,15176084,15170838,15399716,15336283,15174470,13412454,12169356,12549079,12608343,12379126,12577166,12754993,13194798,13122491,13162959,13455676
"26051","Gladwin, MI",439944,450131,464940,481201,473399,489092,482106,465215,433432,434193,418582,411136,405774,410341,418032,426696,450326,468988
"26053","Gogebic, MI",438462,449328,454281,462008,461003,454886,454277,442509,426241,442120,438621,437768,433009,436499,441400,454835,451286,465509
"26055","Grand Traverse, MI",3597121,3759416,3873896,3985148,4068094,4115026,4077402,3962833,3824055,3902103,3939175,3950250,3998782,4132136,4400014,4492132,4604663,4668753
"26057","Gratiot, MI",1045103,1138775,1071324,1135634,1184756,1176549,1187103,1210342,1132300,1152717,1221247,1278491,1184292,1161432,1141807,1242948,1212339,1291648
"26059","Hillsdale, MI",1229059,1296001,1341399,1355043,1376354,1400472,1387254,1274093,1131442,1355561,1373923,1293888,1361130,1322600,1485024,1451015,1478343,1494487
"26061","Houghton, MI",970834,971451,980199,1004967,990948,1013022,990199,970363,971603,977164,973858,974289,998181,1024960,1058091,1072341,1085067,1111719
"26063","Huron, MI",999342,1144254,1176375,1299762,1413603,1436713,1321647,1386012,1250423,1340098,1334390,1423239,1343891,1480526,1401275,1319411,1330819,1357151
"26065","Ingham, MI",15408118,15584816,15650964,15349870,15453952,15214743,15143658,14232403,13436372,14021604,13757321,13421028,13106752,13297430,13721207,14053425,14177008,14491884
"26067","Ionia, MI",1324186,1384646,1483490,1420722,1429178,1467875,1507275,1508272,1349849,1661786,1719520,1631705,1500970,1541098,1533220,1412179,1418911,1539368
"26069","Iosco, MI",634906,635728,657896,664157,673913,692434,670750,645369,599227,625184,637132,666976,663597,651526,648137,662112,680887,713289
"26071","Iron, MI",313739,323661,335299,332937,338093,334167,322510,311284,300985,303546,304345,304116,302570,298058,308276,309604,312681,320439
"26073","Isabella, MI",1899999,1943888,1957233,2031747,2215553,2199530,2260668,2184055,2109864,2108938,2143896,2136308,2109681,2134953,2218781,2213870,2228482,2263492
"26075","Jackson, MI",4896341,5056333,5037013,5125281,5217187,5219153,5205462,4981904,4630042,4887513,5084342,5130152,5282117,5172244,5252177,5490037,5525960,5662101
"26077","Kalamazoo, MI",10778300,11458326,11422910,11407043,11327984,11210058,11381088,10970579,10671844,10798629,10730816,10759305,10995659,11102042,11482438,11868155,12087272,12530386
"26079","Kalkaska, MI",399451,398305,396435,403143,404261,435766,452657,453477,410801,433600,439350,460362,471348,489859,482327,484981,509196,537710
"26081","Kent, MI",29418901,30343377,31194169,31927706,32791807,32770427,32962096,31749498,29974571,30871940,31584681,32757439,33218657,34588900,36141084,36960150,37692523,38895591
"26083","Keweenaw, MI",67844,67461,66801,59815,55909,56221,54198,53840,51561,54085,54884,53659,52948,54102,54810,58432,60941,62345
"26085","Lake, MI",204115,207707,208511,214014,208225,217884,221271,208499,207406,202944,202327,194636,186947,183961,189890,198570,206695,210873
"26087","Lapeer, MI",1872102,1932130,1928346,1952097,1947946,1980089,1915992,1807661,1670915,1822541,1840887,1861332,1812733,1790797,1868234,1922854,1940893,1993372
"26089","Leelanau, MI",603766,645830,598889,573025,577689,586520,587276,535444,533412,530148,525426,536948,563571,572702,602364,648970,627146,644548
"26091","Lenawee, MI",2702667,2839021,3034590,2903981,2889110,2904226,2800966,2621461,2406069,2561547,2617268,2551882,2604547,2457283,2471418,2530092,2544827,2674402
"26093","Livingston, MI",5205967,5483135,5351700,5391210,5505349,5470588,5122184,4763245,4497532,4952020,5166097,5082596,5272985,5571816,5761800,5950163,6131153,6289053
"26095","Luce, MI",199745,203506,202684,193690,175287,178574,169592,166094,169055,169545,169198,169860,170578,177950,174423,169296,177967,178540
"26097","Mackinac, MI",417770,408275,409997,409581,417181,423978,419357,406516,384349,387870,387595,385942,437529,487294,584437,616120,613132,620632
"26099","Macomb, MI",30465571,32208151,33457306,33453264,34839543,33976021,34412909,31606647,27046757,29634682,30709902,31138427,32199417,33060844,33597322,34515875,35408118,36366570
"26101","Manistee, MI",731255,738537,737207,735049,742720,793918,753062,724868,697882,695987,678202,672032,659089,638575,656710,685252,685561,698720
