city_fips,st,place,p1980,p1990,p2000,p2010
1774223,Illinois,Sycamore city,9219,9708,12020,17519
1774275,Illinois,Symerton village,120,110,106,87
1774301,Illinois,Table Grove village,489,408,396,416
1774379,Illinois,Tallula village,681,598,638,488
1774444,Illinois,Tamaroa village,885,780,740,638
1774457,Illinois,Tamms village,826,748,724,632
1774470,Illinois,Tampico village,966,833,772,790
1774561,Illinois,Taylor Springs village,671,670,583,690
1774574,Illinois,Taylorville city,11386,11133,11427,11246
1774665,Illinois,Tennessee village,175,127,144,115
1774743,Illinois,Teutopolis village,1414,1417,1559,1530
1774847,Illinois,Thawville village,275,241,258,241
1774860,Illinois,Thayer village,759,730,750,693
1774970,Illinois,The Galena Territory CDP,,,,1058
1774873,Illinois,Thebes village,455,461,478,436
1775081,Illinois,Third Lake village,222,1248,1355,1182
1775107,Illinois,Thomasboro village,1242,1250,1233,1126
1775159,Illinois,Thompsonville village,610,602,571,543
1775172,Illinois,Thomson village,911,538,559,590
1775185,Illinois,Thornton village,3022,2778,2582,2338
1775263,Illinois,Tilden village,1025,919,922,934
1775276,Illinois,Tilton village,2405,2729,2976,2724
1775360,Illinois,Timberlane village,,,234,934
1775419,Illinois,Time village,27,36,29,23
1775484,Illinois,Tinley Park village,26171,37121,48401,56703
1775549,Illinois,Tiskilwa village,990,830,787,829
1775601,Illinois,Toledo village,1284,1199,1166,1238
1775614,Illinois,Tolono village,2434,2605,2700,3447
1775653,Illinois,Toluca city,1471,1315,1339,1414
1775718,Illinois,Tonica village,695,715,685,768
1775757,Illinois,Topeka village,140,93,90,76
1775783,Illinois,Toulon city,1390,1328,1400,1292
1775809,Illinois,Tovey village,598,533,516,512
1775822,Illinois,Towanda village,630,856,493,480
1775848,Illinois,Tower Hill village,715,601,609,611
1775874,Illinois,Tower Lakes village,1177,1333,1310,1283
1775965,Illinois,Tremont village,2096,2088,2029,2236
1775991,Illinois,Trenton city,2504,2481,2610,2715
1776160,Illinois,Trout Valley village,,,599,537
1776199,Illinois,Troy city,3772,6046,8524,9888
1776225,Illinois,Troy Grove village,297,259,305,250
1776407,Illinois,Tuscola city,3839,4155,4448,4480
1776511,Illinois,Twin Grove CDP,,,,1564
1776615,Illinois,Ullin village,550,402,779,463
1776771,Illinois,Union Hill village,82,37,66,58
1776706,Illinois,Union village,622,542,576,580
1776935,Illinois,University Park village,,6204,6662,7129
1705840,Illinois,Urbain,28,,,
