name,st,pop_2010,pop_2000,pop_1990,pop_1980,pop_1970,pop_1960,pop_1950,pop_1940,pop_1930,pop_1920,pop_1910,pop_1900
Belle Center,Ohio,813,807,796,930,985,949,889,835,861,909,889,962
Belle Valley,Ohio,223,263,267,329,393,438,458,617,603,1050,689,0
Bellefontaine,Ohio,13370,13069,12142,11888,11255,11424,10232,9808,9543,9336,8238,6649
Bellevue,Ohio,8202,8193,8146,8187,8604,8286,6906,6127,6256,5776,5209,4101
Bellville,Ohio,1918,1773,1568,1714,1685,1621,1355,1199,987,998,1056,1039
Belmont,Ohio,453,532,471,714,666,563,638,697,674,680,572,422
Belmore,Ohio,143,171,161,205,319,232,216,238,251,269,298,334
Beloit,Ohio,978,1024,1037,1093,921,877,778,706,694,589,510,0
Belpre,Ohio,6441,6660,6796,7193,7189,5418,2451,1717,1724,1317,1249,0
Bentleyville,Ohio,864,947,674,381,338,301,152,117,83,0,0,0
Benton Ridge,Ohio,299,315,351,343,329,325,337,304,245,240,352,359
Berea,Ohio,19093,18970,19051,19567,22465,16592,12051,6025,5697,2959,2609,2510
Bergholz,Ohio,664,769,713,914,914,955,1035,1122,918,1215,1011,0
Berkey,Ohio,237,265,264,306,294,257,239,248,261,201,0,0
Berlin Heights,Ohio,714,685,691,756,828,721,613,552,569,514,554,625
Bethel,Ohio,2711,2637,2407,2231,2214,2019,1932,1604,1312,1340,1201,850
Bethesda,Ohio,1256,1413,1161,1429,1157,1178,1158,1127,1159,1182,0,0
Bettsville,Ohio,661,784,752,752,833,776,687,692,656,451,486,492
Beverly,Ohio,1313,1282,1444,1471,1396,1194,723,671,600,566,720,712
Bexley,Ohio,13057,13203,13088,13405,14888,14319,12378,8705,7396,1342,682,0
Blakeslee,Ohio,96,130,128,136,163,156,142,164,146,121,169,239
Blanchester,Ohio,4243,4220,4206,3202,3080,2944,2109,1785,1597,1671,1813,1788
Bloomdale,Ohio,678,724,632,744,727,669,592,575,578,509,602,740
Bloomingburg,Ohio,938,874,769,869,895,719,623,567,543,552,610,636
Bloomingdale,Ohio,202,221,227,254,289,284,324,339,265,191,185,189
Bloomville,Ohio,956,1045,949,1019,884,836,759,750,700,645,754,819
Blue Ash,Ohio,12114,12513,11860,9510,8324,8341,0,0,0,0,0,0
Bluffton,Ohio,4125,3896,3367,3310,2935,2591,2423,2077,2035,1950,1953,1783
Bolivar,Ohio,994,894,914,989,1084,932,776,596,506,519,567,0
Boston Heights,Ohio,1300,1186,733,781,846,831,646,369,309,0,0,0
Botkins,Ohio,1155,1205,1340,1372,1057,854,608,502,488,557,579,420
Bowerston,Ohio,398,414,343,487,479,463,522,447,440,500,514,526
Bowersville,Ohio,312,290,225,329,358,327,362,316,310,312,297,370
Bowling Green,Ohio,30028,29636,28176,25728,21760,13574,12005,7190,6688,5788,5222,5067
Bradford,Ohio,1842,1859,2005,2166,2163,2148,2055,1775,1732,2356,1844,1254
Bradner,Ohio,985,1171,1093,1175,1140,994,924,890,836,786,890,1148
Brady Lake,Ohio,464,513,490,470,450,544,444,166,78,0,0,0
